0	1.048
1	1.041
2	1.022
3	1.024
4	1.025
5	1.036
6	1.063
7	1.024
8	1.061
9	1.037
10	1.071
11	1.086
12	1.081
13	1.102
14	1.039
15	1.084
16	1.069
17	1.056
18	1.048
19	1.032
20	1.082
21	1.060
22	1.070
23	1.057
24	1.075
25	1.093
26	1.096
27	1.085
28	1.097
29	1.054
30	1.073
31	1.106
32	1.039
33	1.125
34	1.106
35	1.146
36	1.121
37	1.097
38	1.104
39	1.084
40	1.109
41	1.078
42	1.128
43	1.143
44	1.138
45	1.117
46	1.145
47	1.101
48	1.075
49	1.131
50	1.139
51	1.169
52	1.111
53	1.135
54	1.129
55	1.082
56	1.161
57	1.149
58	1.119
59	1.152
60	1.133
61	1.153
62	1.155
63	1.107
64	1.129
65	1.162
66	1.153
67	1.174
68	1.150
69	1.173
70	1.221
71	1.252
72	1.264
73	1.276
74	1.239
75	1.271
76	1.305
77	1.281
78	1.236
79	1.267
80	1.250
81	1.254
82	1.276
83	1.285
84	1.278
85	1.364
86	1.344
87	1.306
88	1.340
89	1.416
90	1.402
91	1.363
92	1.404
93	1.482
94	1.414
95	1.562
96	1.637
97	1.668
98	1.709
99	1.669
100	1.591
101	1.636
102	1.640
103	1.629
104	1.660
105	1.724
106	1.650
107	1.738
108	1.792
109	1.785
110	1.818
111	1.864
112	1.870
113	1.902
114	1.913
115	1.893
116	1.921
117	1.969
118	1.896
119	1.982
120	2.009
121	2.008
122	2.011
123	2.070
124	1.974
125	2.041
126	2.015
127	2.023
128	2.138
129	2.061
130	2.110
131	2.144
132	2.029
133	2.084
134	2.072
135	2.076
136	2.087
137	2.135
138	2.138
139	2.153
140	2.170
141	2.143
142	2.157
143	2.139
144	2.250
145	2.188
146	2.167
147	2.297
148	2.249
149	2.328
150	2.449
151	2.316
152	2.365
153	2.288
154	2.357
155	2.321
156	2.326
157	2.367
158	2.314
159	2.342
160	2.293
161	2.347
162	2.327
163	2.413
164	2.371
165	2.354
166	2.338
167	2.292
168	2.410
169	2.357
170	2.335
171	2.329
172	2.475
173	2.402
174	2.496
175	2.565
176	2.589
177	2.566
178	2.602
179	2.638
180	2.543
181	2.592
182	2.672
183	2.624
184	2.594
185	2.642
186	2.577
187	2.656
188	2.675
189	2.718
190	2.748
191	2.896
192	2.838
193	2.824
194	2.797
195	2.666
196	2.754
197	2.755
198	2.795
199	2.816
200	2.868
201	2.861
202	2.871
203	2.904
204	2.966
205	2.987
206	3.010
207	3.032
208	3.049
209	2.900
210	3.007
211	3.017
212	3.051
213	3.043
214	3.045
215	3.029
216	3.078
217	3.137
218	3.080
219	3.064
220	3.047
221	3.066
222	3.052
223	3.047
224	3.082
225	3.141
226	3.107
227	3.061
228	3.103
229	3.110
230	3.139
231	3.119
232	3.189
233	3.183
234	3.218
235	3.239
236	3.181
237	3.330
238	3.273
239	3.369
240	3.270
241	3.249
242	3.319
243	3.319
244	3.234
245	3.339
246	3.397
247	3.432
248	3.515
249	3.511
250	3.509
251	3.493
252	3.554
253	3.495
254	3.476
255	3.490
256	3.540
257	3.651
258	3.608
259	3.513
260	3.476
261	3.566
262	3.547
263	3.541
264	3.562
265	3.658
266	3.590
267	3.667
268	3.738
269	3.661
270	3.660
271	3.734
272	3.791
273	3.897
274	3.824
275	3.877
276	3.939
277	3.941
278	3.976
279	4.018
280	4.021
281	4.014
282	4.043
283	3.938
284	3.942
285	3.969
286	4.027
287	4.021
288	3.967
289	4.026
290	4.057
291	4.094
292	4.138
293	4.204
294	4.191
295	4.068
296	4.088
297	4.047
298	4.028
299	4.017
300	4.086
